date,prime
1993-07,6.00
1993-08,6.00
1993-09,6.00
1993-10,6.00
1993-11,6.00
1993-12,6.00
1994-01,6.00
1994-02,6.00
1994-03,6.06
1994-04,6.45
1994-05,6.99
1994-06,7.25
1994-07,7.25
1994-08,7.51
1994-09,7.75
1994-10,7.75
1994-11,8.15
1994-12,8.50
1995-01,8.50
1995-02,9.00
1995-03,9.00
1995-04,9.00
1995-05,9.00
1995-06,9.00
1995-07,8.80
1995-08,8.75
1995-09,8.75
1995-10,8.75
1995-11,8.75
1995-12,8.65
1996-01,8.50
1996-02,8.25
1996-03,8.25
1996-04,8.25
1996-05,8.25
1996-06,8.25
1996-07,8.25
1996-08,8.25
1996-09,8.25
1996-10,8.25
1996-11,8.25
1996-12,8.25
1997-01,8.25
1997-02,8.25
1997-03,8.30
1997-04,8.50
1997-05,8.50
1997-06,8.50
1997-07,8.50
1997-08,8.50
1997-09,8.50
1997-10,8.50
1997-11,8.50
1997-12,8.50
1998-01,8.50
1998-02,8.50
1998-03,8.50
1998-04,8.50
1998-05,8.50
1998-06,8.50
1998-07,8.50
1998-08,8.50
1998-09,8.49
1998-10,8.12
1998-11,7.89
1998-12,7.75
1999-01,7.75
1999-02,7.75
1999-03,7.75
1999-04,7.75
1999-05,7.75
1999-06,7.75
1999-07,8.00
1999-08,8.06
1999-09,8.25
1999-10,8.25
1999-11,8.37
1999-12,8.50
2000-01,8.50
2000-02,8.73
2000-03,8.83
2000-04,9.00
2000-05,9.24
2000-06,9.50
2000-07,9.50
2000-08,9.50
2000-09,9.50
2000-10,9.50
2000-11,9.50
2000-12,9.50
2001-01,9.05
2001-02,8.50
2001-03,8.32
2001-04,7.80
2001-05,7.24
2001-06,6.98
2001-07,6.75
2001-08,6.67
2001-09,6.28
2001-10,5.53
2001-11,5.10
2001-12,4.84
2002-01,4.75
2002-02,4.75
2002-03,4.75
2002-04,4.75
2002-05,4.75
2002-06,4.75
2002-07,4.75
2002-08,4.75
2002-09,4.75
2002-10,4.75
2002-11,4.35
2002-12,4.25
2003-01,4.25
2003-02,4.25
2003-03,4.25
2003-04,4.25
2003-05,4.25
2003-06,4.22
2003-07,4.00
2003-08,4.00
2003-09,4.00
2003-10,4.00
2003-11,4.00
2003-12,4.00
2004-01,4.00
2004-02,4.00
2004-03,4.00
2004-04,4.00
2004-05,4.00
2004-06,4.01
2004-07,4.25
2004-08,4.43
2004-09,4.58
2004-10,4.75
2004-11,4.93
2004-12,5.15
2005-01,5.25
2005-02,5.49
2005-03,5.58
2005-04,5.75
2005-05,5.98
2005-06,6.01
2005-07,6.25
2005-08,6.44
2005-09,6.59
2005-10,6.75
2005-11,7.00
2005-12,7.15
2006-01,7.26
2006-02,7.50
2006-03,7.53
2006-04,7.75
2006-05,7.93
2006-06,8.02
2006-07,8.25
2006-08,8.25
2006-09,8.25
2006-10,8.25
2006-11,8.25
2006-12,8.25
2007-01,8.25
2007-02,8.25
2007-03,8.25
2007-04,8.25
2007-05,8.25
2007-06,8.25
2007-07,8.25
2007-08,8.25
2007-09,8.03
2007-10,7.74
2007-11,7.50
2007-12,7.33
2008-01,6.98
2008-02,6.00
2008-03,5.66
2008-04,5.24
2008-05,5.00
2008-06,5.00
2008-07,5.00
2008-08,5.00
2008-09,5.00
2008-10,4.56
2008-11,4.00
2008-12,3.61
2009-01,3.25
2009-02,3.25
2009-03,3.25
2009-04,3.25
2009-05,3.25
2009-06,3.25
2009-07,3.25
2009-08,3.25
2009-09,3.25
2009-10,3.25
2009-11,3.25
2009-12,3.25
2010-01,3.25
2010-02,3.25
2010-03,3.25
2010-04,3.25
2010-05,3.25
2010-06,3.25
2010-07,3.25
2010-08,3.25
2010-09,3.25
2010-10,3.25
2010-11,3.25
2010-12,3.25
2011-01,3.25
2011-02,3.25
